index;Tex_all;Tex_det;Tex_det_err;Dist_mean_pc;dist_ring_pc
0.05;792.8998;792.8998;120.0;0.0;0.05
0.15;666.8767;656.3714793358212;55.0586425860935;0.1433792265;0.15
0.25;523.45565;517.2338015249943;65.86473075371926;0.2562517976666668;0.25
0.35;428.42190625;431.7953823016647;79.44764431940962;0.3608805055;0.35
0.45;395.33156499999996;404.4178299842033;111.28919811385514;0.4622249901999999;0.45
0.55;374.3583708333333;380.82477453303085;106.61857341208255;0.5580033438333334;0.55
0.65;285.304;306.2559777312605;95.59814005749111;0.6496736885714285;0.65
0.75;218.53305277777778;233.53313937802855;84.04678457341419;0.7527606906666667;0.75
0.85;188.251640625;202.1051913152888;51.84008810882186;0.8492066601249999;0.85
0.95;162.10654318181818;175.96458130877062;53.737857186425884;0.9458444792727273;0.95
1.05;161.06464107142855;179.34958612982874;47.42223904790986;1.057605530857143;1.05
1.15;150.21551250000002;149.41969536809228;43.35785491034561;1.1634287020833334;1.15
1.25;154.49001458333333;149.44945574258944;49.912314964423125;1.2501733780000002;1.25
1.35;158.203009375;183.18371700489175;26.85743008872288;1.3471497086875002;1.35
1.45;154.18392499999996;166.64242798023167;64.6582325913765;1.4481184373333333;1.45
