X,Y
0,-0.00031780
1,-0.00030579
2,-0.00030501
3,-0.00029260
4,-0.00027178
5,-0.00025154
6,-0.00022824
7,-0.00020088
8,-0.00017462
9,-0.00014691
10,-0.00011663
11,-0.00009036
12,-0.00006830
13,-0.00005192
14,-0.00003798
15,-0.00001517
16,0.00002069
17,0.00006231
18,0.00010601
19,0.00015747
20,0.00020557
21,0.00023956
22,0.00027112
23,0.00031491
24,0.00036755
25,0.00043829
26,0.00055294
27,0.00072411
28,0.00097145
29,0.00134678
30,0.00193711
31,0.00282868
32,0.00404102
33,0.00555254
34,0.00713034
35,0.00831233
36,0.00899403
37,0.00902232
38,0.00823167
39,0.00703208
40,0.00567846
41,0.00432704
42,0.00320043
43,0.00234501
44,0.00173782
45,0.00133247
46,0.00108294
47,0.00092922
48,0.00081260
49,0.00071102
50,0.00061853
51,0.00052878
52,0.00044379
53,0.00037700
54,0.00032249
55,0.00027582
56,0.00023777
57,0.00020449
58,0.00017114
59,0.00014440
60,0.00012490
61,0.00010242
62,0.00007810
63,0.00006561
64,0.00006237
65,0.00004900
66,0.00002815
67,0.00001107
68,0.00000027
69,-0.00000814
70,-0.00001083
71,-0.00001125
72,-0.00001064
73,-0.00000530
74,0.00000273
