! R_anillo	F_235GHz Beam_orig +/-Err       F_235GHz Beam_345 +/-Err	      F_345GHz Beam_345 +/-Err	
!  (pc)		  (mJy /beam)		             (mJy /beam) 		          (mJy /beam)
0.05     2.2516117095947  0.013365363702178    3.3029434680939  0.013390529900789     9.4969234466553   0.042636621743441
0.15	 1.865816950798	  8.4599452093244E-03  2.954948425293	0.011241897940636     8.6142244338989	0.037000823765993
0.25	 1.2755827903748  5.3509897552431E-03  2.3524446487427	8.5766417905688E-03   7.4346308708191	0.030653797090054
0.35	 0.78986012935638 4.6810610219836E-03  1.7364535331726	7.1078548207879E-03   6.27508020401	0.024028284475207
0.45	 0.49777743220329 4.5137139968574E-03  1.237388253212	6.4954780973494E-03   5.0768580436707	0.019263323396444
0.55	 0.36075919866562 4.4330442324281E-03  0.90605813264847	6.2012877315283E-03   4.0941653251648	0.017254197970033
0.65	 0.27912217378616 3.7251212634146E-03  0.67963546514511	5.5337389931083E-03   3.3621094226837	0.014792953617871
0.75	 0.22120961546898 3.1644275877625E-03  0.5157607793808	4.8522069118917E-03   2.7808575630188	0.012568162754178
0.85	 0.18404623866081 3.1334492377937E-03  0.41397002339363	4.5416168868542E-03   2.2754876613617	0.01122856605798
0.95	 0.15399457514286 3.0125370249152E-03  0.34403306245804	4.3014758266509E-03   1.7887922525406	0.010595900006592
1.05	 0.13029171526432 2.7290501166135E-03  0.28426870703697	4.0888777002692E-03   1.3910565376282	0.01104465406388
1.15	 0.11032970994711 2.5791800580919E-03  0.23860830068588	3.9287004619837E-03   1.0648194551468	0.011225510388613
1.25	 0.09818329662084 2.7879162225872E-03  0.21309825778008	4.0171300061047E-03   0.79784643650055	0.010623815469444
1.35	 0.07212444394826 2.4284275714308E-03  0.16723637282848	3.8389712572098E-03   0.61202901601791  0.010167627595365
