X,Y
0,251.04958
1,250.00000
2,250.00000
3,250.00000
4,250.00000
5,251.34241
6,255.36731
7,255.92780
8,255.51984
9,255.01845
10,255.17383
11,254.15521
12,252.36765
13,252.26050
14,252.94359
15,254.52597
16,254.90413
17,254.85832
18,256.31693
19,258.04068
20,259.63983
21,258.03656
22,251.85077
23,250.00000
24,250.00000
