X,Y
0,250.0000
1,250.0000
2,250.0000
3,250.0660
4,256.4019
5,257.7817
6,256.6956
7,257.3914
8,260.3742
9,261.7790
10,262.4952
11,261.4422
12,253.8538
13,246.7225
14,243.6888
15,244.1118
16,245.9686
17,248.3697
18,250.7295
19,250.2402
20,250.0000
21,250.0000
22,250.0000
23,250.0000
24,250.0000
