value;value_err;distance_px;distance_pc
16.2062;14.8251;0.0;0.0
16.2772;14.8734;1.0;0.11877924029767532
16.2212;14.8558;1.0;0.11877924029767532
16.3125;14.9586;1.0;0.11877924029767532
16.2355;14.9038;1.0;0.11877924029767532
16.2902;14.9774;2.0;0.23755848059535065
16.2742;14.8962;1.4142135623730951;0.16797921255734533
16.3076;14.9511;1.4142135623730951;0.16797921255734533
16.2666;14.9551;2.0;0.23755848059535065
16.3948;15.1161;2.0;0.23755848059535065
16.252;14.9362;1.4142135623730951;0.16797921255734533
16.3411;14.9557;1.4142135623730951;0.16797921255734533
16.3539;14.9369;2.0;0.23755848059535065
16.1807;15.1325;3.0;0.35633772089302596
16.2095;15.0818;2.8284271247461903;0.33595842511469065
16.2656;14.9995;2.23606797749979;0.2655984556213844
16.2515;15.0086;2.23606797749979;0.2655984556213844
16.2078;15.0851;2.8284271247461903;0.33595842511469065
16.2476;14.999;2.23606797749979;0.2655984556213844
16.2988;15.0611;2.23606797749979;0.2655984556213844
16.2402;15.0935;3.0;0.35633772089302596
16.3938;15.2825;3.0;0.35633772089302596
16.3337;15.0165;2.23606797749979;0.2655984556213844
16.4197;15.0651;2.23606797749979;0.2655984556213844
16.4056;15.0982;2.8284271247461903;0.33595842511469065
16.3817;15.0201;2.23606797749979;0.2655984556213844
16.4152;14.9415;2.23606797749979;0.2655984556213844
16.4146;14.9898;2.8284271247461903;0.33595842511469065
16.4489;15.0161;3.0;0.35633772089302596
16.1661;15.6895;4.0;0.4751169611907013
16.0417;15.1501;3.605551275463989;0.4282646413539269
16.1665;15.158;3.1622776601683795;0.3756129380851104
16.1425;15.1041;3.1622776601683795;0.3756129380851104
16.0764;15.2569;3.605551275463989;0.4282646413539269
16.0579;15.2123;3.605551275463989;0.4282646413539269
16.1199;15.2523;3.605551275463989;0.4282646413539269
16.1742;15.1577;3.1622776601683795;0.3756129380851104
16.2624;15.2506;3.1622776601683795;0.3756129380851104
16.1395;15.3314;4.0;0.4751169611907013
16.3004;15.4335;4.0;0.4751169611907013
16.3208;15.0864;3.1622776601683795;0.3756129380851104
