Index,tag,Frequency,err,LgInt,dr,ELO,gup,qn1,qn2,qn3,qn4,qn5,qn6,qnn1,qnn2,qnn3,qnn4,qnn5,qnn6,Formula,qnfmt,qlog300,qlog225,qlog150,qlog75,qlog37,qlog18,qlog9,Transition,CHECK,Source,delta x,delta y,C,Area,delta Area,Width,delta Width,Velocity,delta Velocity,Intensity,delta Intensity,Continuum,delta Continuum,Cont.Size,Fraction,SourceSize,delta SourceSize,Telescope,N/EM,delta N/EM,Tex/Te,delta Tex/Te,Tbg,tau/taul,delta tau/taul,Filtered
11,51509,237823.4185,0.03,-3.99,3,1422.4672,53,26,2,0,,,,25,-2,0,,,,"HC3N,v4=1,v7=2/v5=2^0",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"26,2,0-25,-2,0",true,,0.0,0.0,1,1.647599130977859E-6,,43.713116,,250.0,,3.540849519419099E-8,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1172.0,,0.0,1.5237816457646676E-6,0.0,true
12,51507,218586.4829,0.0072,-3.5978,2,1184.6182,49,24,-1,,,,,23,1,,,,,"HC3N,v4=v7=1",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,-1-23,1",true,,0.0,0.0,1,2.1600147737227463E-6,,43.713116,,250.0,,4.642079973786166E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,1.772419737594535E-6,0.0,true
13,51507,218910.2779,0.0071,-3.5968,2,1184.7428,49,24,1,,,,,23,-1,,,,,"HC3N,v4=v7=1",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,1-23,-1",true,,0.0,0.0,1,2.1627725917352886E-6,,43.713116,,250.0,,4.6480067885343634E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,1.7746932594670302E-6,0.0,true
14,51507,236795.303,0.03,-3.525,2,1199.5044,53,26,-1,,,,,25,1,,,,,"HC3N,v4=v7=1",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"26,-1-25,1",true,,0.0,0.0,1,2.1505902550454456E-6,,43.713116,,250.0,,4.6218255499509804E-8,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1142.0,,0.0,2.041452939351094E-6,0.0,true
15,51507,237145.682,0.03,-3.5241,2,1199.6511,53,26,1,,,,,25,-1,,,,,"HC3N,v4=v7=1",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"26,1-25,-1",true,,0.0,0.0,1,2.153014004309057E-6,,43.713116,,250.0,,4.6270344188894065E-8,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1142.0,,0.0,2.0437671537615965E-6,0.0,true
16,51508,218340.4758,0.0056,-2.6827,3,746.8297,49,24,-1,0,,,,23,1,0,,,,"HC3N,v5=1/v7=3",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,-1,0-23,1,0",true,,0.0,0.0,1,3.7823114413992728E-6,,43.713116,,250.0,,8.128549950062628E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,3.1035971464863547E-6,0.0,true
17,51508,218462.1835,0.006,-2.6823,3,746.8765,49,24,1,0,,,,23,-1,0,,,,"HC3N,v5=1/v7=3",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,1,0-23,-1,0",true,,0.0,0.0,1,3.784332059000359E-6,,43.713116,,250.0,,8.132892449113772E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,3.1052622822380848E-6,0.0,true
18,51508,220070.1848,0.0051,-2.6785,3,748.0743,49,24,-1,1,,,,23,1,1,,,,"HC3N,v5=1/v7=3",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,-1,1-23,1,1",true,,0.0,0.0,1,3.2394855021653288E-6,,43.713116,,250.0,,6.961964933892343E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,3.123155551587623E-6,0.0,true
19,51508,220407.3855,0.0056,-2.6929,3,752.6971,49,24,-3,1,,,,23,3,1,,,,"HC3N,v5=1/v7=3",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,-3,1-23,3,1",true,,0.0,0.0,1,3.1806503257677286E-6,,43.713116,,250.0,,6.835522569186756E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,3.066452158263235E-6,0.0,true
20,51508,220408.4945,0.0056,-2.6929,3,752.6973,49,24,3,1,,,,23,-3,1,,,,"HC3N,v5=1/v7=3",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,3,1-23,-3,1",true,,0.0,0.0,1,3.18063674650842E-6,,43.713116,,250.0,,6.835493385914085E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,3.066439096809835E-6,0.0,true
21,51508,220699.6881,0.005,-2.6765,3,748.3163,49,24,1,1,,,,23,-1,1,,,,"HC3N,v5=1/v7=3",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,1,1-23,-1,1",true,,0.0,0.0,1,3.248015694124063E-6,,43.713116,,250.0,,6.980297123613171E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,3.131415745601445E-6,0.0,true
22,51508,236529.548,0.03,-2.6099,3,761.6991,53,26,-1,0,,,,25,1,0,,,,"HC3N,v5=1/v7=3",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"26,-1,0-25,1,0",true,,0.0,0.0,1,3.765570171782253E-6,,43.713116,,250.0,,8.092570669028185E-8,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1142.0,,0.0,3.5744602702502503E-6,0.0,true
23,51508,236661.413,0.03,-2.6095,3,761.7543,53,26,1,0,,,,25,-1,0,,,,"HC3N,v5=1/v7=3",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"26,1,0-25,-1,0",true,,0.0,0.0,1,3.7676950606695506E-6,,43.713116,,250.0,,8.09713725654706E-8,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1142.0,,0.0,3.5764860918737653E-6,0.0,true
24,51504,218682.5609,0.003,-2.3345,2,582.7042,49,24,-1,,,,,23,1,,,,,"HC3N,v6=1",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,-1-23,1",true,,0.0,0.0,1,4.712443164342223E-6,,43.713116,,250.0,,1.0127490813009794E-7,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,3.8668473030682625E-6,0.0,true
25,51504,218854.3922,0.003,-2.334,2,582.7701,49,24,1,,,,,23,-1,,,,,"HC3N,v6=1",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,1-23,-1",true,,0.0,0.0,1,4.715298801315608E-6,,43.713116,,250.0,,1.0133627846354646E-7,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,3.869202625233355E-6,0.0,true
26,51504,236900.358,0.03,-2.2618,2,597.597,53,26,-1,,,,,25,1,,,,,"HC3N,v6=1",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"26,-1-25,1",true,,0.0,0.0,1,4.690892409889855E-6,,43.713116,,250.0,,1.0081175116820027E-7,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1142.0,,0.0,4.452853377146219E-6,0.0,true
27,51504,237086.482,0.03,-2.2613,2,597.6746,53,26,1,,,,,25,-1,,,,,"HC3N,v6=1",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"26,1-25,-1",true,,0.0,0.0,1,4.6939321614276036E-6,,43.713116,,250.0,,1.008770782728902E-7,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1142.0,,0.0,4.455754084487836E-6,0.0,true
28,51526,219023.5155,0.0121,-3.4203,2,1097.1952,49,24,0,,,,,23,0,,,,,"HC3N,v6=2",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,0-23,0",true,,0.0,0.0,1,2.3814799005799375E-6,,43.713116,,250.0,,5.118029713020411E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,1.9541607655100495E-6,0.0,true
29,51526,219207.7847,0.0058,-3.3917,2,1082.2767,49,24,2,,,,,23,-2,,,,,"HC3N,v6=2",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,2-23,-2",true,,0.0,0.0,1,2.410879737739545E-6,,43.713116,,250.0,,5.1812127723965484E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,1.978291806781152E-6,0.0,true
30,51526,219209.1749,0.0058,-3.3917,2,1082.2769,49,24,-2,,,,,23,2,,,,,"HC3N,v6=2",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,-2-23,2",true,,0.0,0.0,1,2.4108662790790263E-6,,43.713116,,250.0,,5.181183848028108E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,1.9782808206809853E-6,0.0,true
31,51526,237270.1268,0.0127,-3.3477,2,1112.1112,53,26,0,,,,,25,0,,,,,"HC3N,v6=2",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"26,0-25,0",true,,0.0,0.0,1,2.370236118542577E-6,,43.713116,,250.0,,5.093865470184291E-8,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1142.0,,0.0,2.249972781501927E-6,0.0,true
32,51526,237468.942,0.03,-3.3187,2,1097.2052,53,26,2,,,,,25,-2,,,,,"HC3N,v6=2",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"26,2-25,-2",true,,0.0,0.0,1,2.40182342978688E-6,,43.713116,,250.0,,5.1617496132651075E-8,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1142.0,,0.0,2.2799659547973004E-6,0.0,true
33,51526,237470.729,0.03,-3.3187,2,1097.2055,53,26,-2,,,,,25,2,,,,,"HC3N,v6=2",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"26,-2-25,2",true,,0.0,0.0,1,2.4018081980723967E-6,,43.713116,,250.0,,5.1617168792254346E-8,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1142.0,,0.0,2.279951454616034E-6,0.0,true
34,51505,219411.8655,0.0054,-2.795,2,804.4589,49,24,0,0,,,,23,0,0,,,,"HC3N,v6=v7=1",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,0,0-23,0,0",true,,0.0,0.0,1,3.563261249196632E-6,,43.713116,,250.0,,7.657790331773265E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,2.923911551642276E-6,0.0,true
35,51505,219437.1662,0.0063,-2.7966,2,805.247,49,24,0,1,,,,23,0,1,,,,"HC3N,v6=v7=1",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,0,1-23,0,1",true,,0.0,0.0,1,3.5596576323405445E-6,,43.713116,,250.0,,7.650045817233797E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,2.9209561225205034E-6,0.0,true
36,51505,219494.7268,0.0066,-2.7995,2,805.3987,49,24,-2,2,,,,23,2,2,,,,"HC3N,v6=v7=1",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,-2,2-23,2,2",true,,0.0,0.0,1,3.5369451505879066E-6,,43.713116,,250.0,,7.601234540369769E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,2.9023216915024677E-6,0.0,true
37,51505,219518.7838,0.0047,-2.7995,2,805.403,49,24,2,2,,,,23,-2,2,,,,"HC3N,v6=v7=1",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,2,2-23,-2,2",true,,0.0,0.0,1,3.536614518054007E-6,,43.713116,,250.0,,7.600523979749075E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,2.902051837557477E-6,0.0,true
38,51505,237681.316,0.04,-2.7225,2,819.4012,53,26,0,0,,,,25,0,0,,,,"HC3N,v6=v7=1",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"26,0,0-25,0,0",true,,0.0,0.0,1,3.546095267111919E-6,,43.713116,,250.0,,7.620898381622068E-8,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1142.0,,0.0,3.3661971715838074E-6,0.0,true
39,51505,237713.597,0.04,-2.7242,2,820.1911,53,26,0,1,,,,25,0,1,,,,"HC3N,v6=v7=1",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"26,0,1-25,0,1",true,,0.0,0.0,1,3.541644451115734E-6,,43.713116,,250.0,,7.611333157445978E-8,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1142.0,,0.0,3.361974305580914E-6,0.0,true
40,51505,237783.924,0.04,-2.7266,2,820.3468,53,26,-2,2,,,,25,2,2,,,,"HC3N,v6=v7=1",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"26,-2,2-25,2,2",true,,0.0,0.0,1,3.5230337887456217E-6,,43.713116,,250.0,,7.571337085367275E-8,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1142.0,,0.0,3.3443121708144745E-6,0.0,true
41,51505,237814.88,0.04,-2.7265,2,820.3528,53,26,2,2,,,,25,-2,2,,,,"HC3N,v6=v7=1",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"26,2,2-25,-2,2",true,,0.0,0.0,1,3.5234655015602237E-6,,43.713116,,250.0,,7.572264876967692E-8,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1142.0,,0.0,3.3447239081437176E-6,0.0,true
42,51502,218860.7997,0.0031,-1.7604,2,306.9609,49,24,-1,,,,,23,1,,,,,"HC3N,v7=1",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,-1-23,1",true,,0.0,0.0,1,6.661218837469098E-6,,43.713116,,250.0,,1.4315591886777454E-7,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,5.465957224896413E-6,0.0,true
43,51502,219173.7567,0.0031,-1.7594,2,307.0811,49,24,1,,,,,23,-1,,,,,"HC3N,v7=1",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,1-23,-1",true,,0.0,0.0,1,6.669958670089685E-6,,43.713116,,250.0,,1.433437459799198E-7,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1142.0,,0.0,5.473160684309455E-6,0.0,true
44,51502,237093.383,0.03,-1.6877,2,321.8658,53,26,-1,,,,,25,1,,,,,"HC3N,v7=1",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"26,-1-25,1",true,,0.0,0.0,1,6.631044540884057E-6,,43.713116,,250.0,,1.4250742327929767E-7,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1142.0,,0.0,6.294578721417376E-6,0.0,true
45,51502,237432.261,0.03,-1.6867,2,322.0074,53,26,1,,,,,25,-1,,,,,"HC3N,v7=1",202,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"26,1-25,-1",true,,0.0,0.0,1,6.6402571561075755E-6,,43.713116,,250.0,,1.4270541088014697E-7,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1142.0,,0.0,6.303364633028294E-6,0.0,true
